Photo produit,Denomination,Categorie,Litre / Gramme,Quantité,Prix initial,Prix promo,Achat
,"Confiture (figue, fraise, abricot)",Alimentaire,320 Gr,3,2.03 €,1.62 €,
,Cote d'or,Alimentaire,200 Gr,1,3.09 €,2.32 €,
,Panzani coquilette,Alimentaire,500 Gr,11,1.29 €,0.80 €,
,Panzani Torti,Alimentaire,500 Gr,9,1.31 €,0.99 €,
,Tomacoli Sauce,Alimentaire,200 Gr,5,0.60 €,0.45 €,
,Granola,Alimentaire,200 Gr,5,1.55 €,1.25 €,
,Granola cookies,Alimentaire,184 Gr,2,1.81 €,1.25 €,
,Lulu barquette au chocolat,Alimentaire,120 Gr,1,1.11 €,0.99 €,
,"Sauce (Algérienne, Andalouse)",Alimentaire,500 Gr,2,3.99 €,2.99 €,
,Belin fromage,Alimentaire,110 Gr,4,1.35 €,1.08 €,
,Petit cœur,Alimentaire,125 Gr,2,1.15 €,0.99 €,
,Barilla (Tomate),Alimentaire,400 Gr,8,1.79 €,1.45 €,
,Lardons nature,Alimentaire,200 Gr,2,1.29 €,0.80 €,
,"Kinder tablette (caramel, cookie)",Alimentaire,30 Gr,1,2.39 €,1.75 €,
,"Panzani (coquilette, Tortilli)",Alimentaire,500 Gr,8,1.29 €,0.80 €,
,Kinder Bueno white,Alimentaire,44 Gr,10,0.99 €,0.75 €,
,Fanta,Alimentaire,330 mL,11,0.99 €,0.75 €,
,Delichoc noir,Alimentaire,150 Gr,5,1.99 €,1.50 €,
,Delichoc blanc,Alimentaire,150 Gr,5,1.99 €,1.50 €,
,Kinder Bueno,Alimentaire,43 Gr,5,0.99 €,0.75 €,
,Kinder Bueno,Alimentaire,43 Gr,5,0.99 €,0.75 €,
,Oreo,Alimentaire,154 Gr,2,1.25 €,0.99 €,
,Bonne maman caramel,Alimentaire,135 Gr,3,1.25 €,0.99 €,
,Bonne maman fraise,Alimentaire,135 Gr,1,1.25 €,0.99 €,
,Amora deluxe,Alimentaire,247 Gr,2,1.85 €,1.50 €,
,Amora cheesburger,Alimentaire,247 Gr,2,2.49 €,1.50 €,
,Cheetos balls,Alimentaire,90 Gr,2,1.29,0.99,
,Cheetos crunchy,Alimentaire,90 Gr,2,1.29,0.99,
,Cheetos original,Alimentaire,80 Gr,4,1.29,0.99,
,Whiskas poulet,Animalerie,"1,4 kg",2,4.49,2.5,
,Whiskas Saumon,Animalerie,"1,4 kg",3,4.49,2.5,
,Whiskas Friandise,Animalerie,19 Gr,2,1.09,0.75,
,Fuze tea,Alimentaire,330 mL,10,0.99,0.75,
,Lion,Alimentaire,39 Gr,10,0.99,0.75,
,Kit kat,Alimentaire,"1,5 Gr",9,0.99,0.75,
,Sauce provencale,Alimentaire,600 Gr,2,1.23,0.99,
,Sauce arrabiata,Alimentaire,600 Gr,3,1.84,0.99,
,Pesto Rouge,Alimentaire,200 Gr,2,2.29,1.99,
,Pesto Tomates,Alimentaire,200 Gr,2,2.19,1.99,
,timotei eclat,Hygiene,250 mL,4,2.35 €,1.99 €,
,timotei pelliculaire,Hygiene,250 mL,2,2.73 €,1.99 €,
,cadum vanille,Hygiene,250 mL,2,2.52 €,1.99 €,
,cadum amande,Hygiene,250 mL,2,2.40 €,1.99 €,
,adidas full rechzrge,Hygiene,250 mL,2,2.87 €,1.99 €,
,adidas get comfy,Hygiene,250 mL,2,2.87 €,1.99 €,
,ushaiu orchidee,Hygiene,250 mL,2,2.49 €,1.99 €,
,tonifiant,Hygiene,250 mL,1,2.49 €,1.99 €,
,Rainette,Lessive,900 mL,2,3.89 €,2.99 €,
,Soupline parfum linge,Lessive,1000 mL,1,6.49 €,3.99 €,
,Soupline concentré emotion,Lessive,"1,2 L",2,5.99 €,4.50 €,
,Lenor perle,Lessive,240 Gr,1,7.99 €,5.95 €,
